chembl_id,molregno,assay_chembl_id,src_id,src_short_name,journal,pubmed_id,doi,tid,accession,pref_name,target_chembl_id,organism,standard_value,standard_units,standard_relation,pchembl_value,drugId,uniprotId,sources,isHighQualityProbe,isTherapeuticTarget
CHEMBL165,103658,CHEMBL3879610,1,LITERATURE,Bioorg Med Chem,2.812644E7,10.1016/j.bmc.2017.01.005,103144,Q16236,Nuclear factor erythroid 2-related factor 2,CHEMBL1075094,Homo sapiens,5400.0,nM,=,5.27,CHEMBL165,Q16236,"impc,intogen,chembl,eva_somatic,cancer_gene_census",false,true
CHEMBL33720,44648,CHEMBL3377680,1,LITERATURE,Bioorg Med Chem,2.5262941E7,10.1016/j.bmc.2014.08.038,103075,Q9GZQ4,Neuromedin-U receptor 2,CHEMBL1075144,Homo sapiens,6600.0,nM,=,5.18,CHEMBL33720,Q9GZQ4,ot_genetics_portal,false,false
CHEMBL1721885,1102616,CHEMBL1908764,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103095,Q15208,Serine/threonine-protein kinase 38,CHEMBL1075155,Homo sapiens,700.0,nM,=,6.16,CHEMBL1721885,Q15208,impc,false,false
CHEMBL787,47447,CHEMBL3269457,1,LITERATURE,ACS Med Chem Lett,2.4900835E7,10.1021/ml400399f,103101,Q13304,Uracil nucleotide/cysteinyl leukotriene receptor,CHEMBL1075162,Homo sapiens,6540.0,nM,=,5.18,CHEMBL787,Q13304,impc,false,false
CHEMBL1287853,714243,CHEMBL1908417,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103106,Q8NE63,Homeodomain-interacting protein kinase 4,CHEMBL1075167,Homo sapiens,220.0,nM,=,6.66,CHEMBL1287853,Q8NE63,impc,false,false
CHEMBL1336,276734,CHEMBL1908796,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103140,Q9UL54,Serine/threonine-protein kinase TAO2,CHEMBL1075195,Homo sapiens,540.0,nM,=,6.27,CHEMBL1336,Q9UL54,eva_somatic,false,false
CHEMBL3577885,1946198,CHEMBL5214521,65,LIT_EUBOPEN_CGL,,,10.6019/CHEMBL5212743,103167,Q7Z2W7,Transient receptor potential cation channel subfamily M member 8,CHEMBL1075319,Homo sapiens,13.8,nM,=,7.86,CHEMBL3577885,Q7Z2W7,chemicalProbes,true,false
CHEMBL1230609,692959,CHEMBL1908722,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103435,P20794,Serine/threonine-protein kinase MAK,CHEMBL1163106,Homo sapiens,1800.0,nM,=,5.75,CHEMBL1230609,P20794,ot_genetics_portal,false,false
CHEMBL445813,511261,CHEMBL1908787,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103455,Q9UPZ9,Serine/threonine-protein kinase ICK,CHEMBL1163126,Homo sapiens,8.3,nM,=,8.08,CHEMBL445813,Q9UPZ9,impc,false,false
CHEMBL1287853,714243,CHEMBL1908509,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103458,Q52WX2,Serine/threonine-protein kinase SBK1,CHEMBL1163129,Homo sapiens,790.0,nM,=,6.1,CHEMBL1287853,Q52WX2,ot_genetics_portal,false,false
CHEMBL2028663,1340894,CHEMBL3578906,1,LITERATURE,J Med Chem,2.5965804E7,10.1021/acs.jmedchem.5b00067,103465,P10398,Serine/threonine-protein kinase A-Raf,CHEMBL1169596,Homo sapiens,26.0,nM,=,7.58,CHEMBL2028663,P10398,"intogen,chembl,eva_somatic,cancer_gene_census",false,true
CHEMBL4297458,2335429,CHEMBL5029808,1,LITERATURE,Bioorg Med Chem Lett,3.4560263E7,10.1016/j.bmcl.2021.128376,103481,P01106,Myc proto-oncogene protein,CHEMBL1250348,Homo sapiens,0.7,nM,=,9.15,CHEMBL4297458,P01106,"uniprot_literature,impc,intogen,ot_genetics_portal,eva_somatic,cancer_gene_census",false,false
CHEMBL55643,87251,CHEMBL3111090,1,LITERATURE,J Med Chem,2.4304219E7,10.1021/jm401497a,103516,O94759,Transient receptor potential cation channel subfamily M member 2,CHEMBL1250402,Homo sapiens,2600.0,nM,=,5.58,CHEMBL55643,O94759,ot_genetics_portal,false,false
CHEMBL2024567,1339957,CHEMBL5149869,1,LITERATURE,ACS Med Chem Lett,3.6105325E7,10.1021/acsmedchemlett.2c00258,103525,Q9UL62,Short transient receptor potential channel 5,CHEMBL1250411,Homo sapiens,7.59,nM,=,8.12,CHEMBL2024567,Q9UL62,chemicalProbes,false,false
CHEMBL36,2080,CHEMBL3579967,1,LITERATURE,J Med Chem,2.5984755E7,10.1021/jm5017895,103529,P06865,Beta-hexosaminidase subunit alpha,CHEMBL1250415,Homo sapiens,8500.0,nM,=,5.07,CHEMBL36,P06865,"uniprot_literature,eva,orphanet,gene2phenotype,clingen,uniprot_variants",false,false
CHEMBL3408213,1834968,CHEMBL3413918,1,LITERATURE,J Med Chem,2.5680029E7,10.1021/jm501436m,103548,P56704,Protein Wnt-3a,CHEMBL1255137,Homo sapiens,7.0,nM,=,8.15,CHEMBL3408213,P56704,chemicalProbes,true,false
CHEMBL3633802,1971064,CHEMBL3635401,1,LITERATURE,Bioorg Med Chem Lett,2.6522946E7,10.1016/j.bmcl.2015.10.032,103574,Q9H237,Probable protein-cysteine N-palmitoyltransferase porcupine,CHEMBL1255163,Homo sapiens,2.9,nM,=,8.54,CHEMBL3633802,Q9H237,"impc,chembl",false,true
CHEMBL480,5975,CHEMBL2213420,1,LITERATURE,ACS Med Chem Lett,2.490041E7,10.1021/ml300216t,103657,P10636,Microtubule-associated protein tau,CHEMBL1293224,Homo sapiens,2.5,nM,=,8.6,CHEMBL480,P10636,ot_genetics_portal,false,false
CHEMBL2426168,1581289,CHEMBL3377969,1,LITERATURE,Bioorg Med Chem Lett,2.4856061E7,10.1016/j.bmcl.2014.04.088,103670,P54132,Bloom syndrome protein,CHEMBL1293237,Homo sapiens,3000.0,nM,=,5.52,CHEMBL2426168,P54132,chemicalProbes,false,false
CHEMBL4462423,2369432,CHEMBL4418633,38,PATENT,,,,103682,Q13887,Kruppel-like factor 5,CHEMBL1293249,Homo sapiens,54.0,nM,=,7.27,CHEMBL4462423,Q13887,chemicalProbes,false,false
CHEMBL51085,75507,CHEMBL4399088,1,LITERATURE,Eur J Med Chem,3.12769E7,10.1016/j.ejmech.2019.06.057,103720,P14735,Insulin-degrading enzyme,CHEMBL1293287,Homo sapiens,14.0,nM,=,7.85,CHEMBL51085,P14735,"impc,ot_genetics_portal",false,false
CHEMBL4636881,2473439,CHEMBL4668944,1,LITERATURE,J Med Chem,3.2691591E7,10.1021/acs.jmedchem.0c00605,103722,P25440,Bromodomain-containing protein 2,CHEMBL1293289,Homo sapiens,251.19,nM,=,6.6,CHEMBL4636881,P25440,chemicalProbes,true,false
CHEMBL460026,446432,CHEMBL3117757,1,LITERATURE,J Med Chem,2.4351031E7,10.1021/jm401292m,103780,Q8TDS5,Oxoeicosanoid receptor 1,CHEMBL1628461,Homo sapiens,2000.0,nM,=,5.7,CHEMBL460026,Q8TDS5,ot_genetics_portal,false,false
CHEMBL897,77474,CHEMBL4610167,1,LITERATURE,Eur J Med Chem,3.0769179E7,10.1016/j.ejmech.2019.01.043,103830,Q8TCC7,Solute carrier family 22 member 8,CHEMBL1641348,Homo sapiens,9000.0,nM,=,5.05,CHEMBL897,Q8TCC7,chembl,false,true
CHEMBL1421,361469,CHEMBL1908755,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,103855,Q86Y07,Serine/threonine-protein kinase VRK2,CHEMBL1649059,Homo sapiens,3200.0,nM,=,5.5,CHEMBL1421,Q86Y07,ot_genetics_portal,false,false
CHEMBL1673415,1071721,CHEMBL3135195,1,LITERATURE,Medchemcomm,2.5558349E7,10.1039/c3md00333g,103924,O75608,Acyl-protein thioesterase 1,CHEMBL1681631,Homo sapiens,5.4,nM,=,8.27,CHEMBL1673415,O75608,chemicalProbes,false,false
CHEMBL2137199,1409150,CHEMBL3369174,1,LITERATURE,J Med Chem,2.4502334E7,10.1021/jm401901d,103982,P51449,Nuclear receptor ROR-gamma,CHEMBL1741186,Homo sapiens,150.0,nM,=,6.82,CHEMBL2137199,P51449,chemicalProbes,false,false
CHEMBL11,605,CHEMBL2154120,1,LITERATURE,J Med Chem,2.1599003E7,10.1021/jm2001629,104063,O15244,Solute carrier family 22 member 2,CHEMBL1743122,Homo sapiens,600.0,nM,=,6.22,CHEMBL11,O15244,ot_genetics_portal,false,false
CHEMBL163,88100,CHEMBL2320298,1,LITERATURE,J Med Chem,2.3241029E7,10.1021/jm301302s,104067,Q96FL8,Multidrug and toxin extrusion protein 1,CHEMBL1743126,Homo sapiens,2100.0,nM,=,5.68,CHEMBL163,Q96FL8,impc,false,false
CHEMBL135,27626,CHEMBL3537871,1,LITERATURE,Drug Metab Dispos,2.2593037E7,10.1124/dmd.112.045583,104076,P50225,Sulfotransferase 1A1,CHEMBL1743291,Homo sapiens,2300.0,nM,=,5.64,CHEMBL135,P50225,ot_genetics_portal,false,false
CHEMBL1230609,692959,CHEMBL1908831,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,104126,Q8TBX8,Phosphatidylinositol-5-phosphate 4-kinase type-2 gamma,CHEMBL1770034,Homo sapiens,28.0,nM,=,7.55,CHEMBL1230609,Q8TBX8,impc,false,false
CHEMBL1770248,1142547,CHEMBL1772493,1,LITERATURE,J Med Chem,2.1449606E7,10.1021/jm200049r,104139,Q9NY91,Low affinity sodium-glucose cotransporter,CHEMBL1770047,Homo sapiens,0.877,nM,=,9.06,CHEMBL1770248,Q9NY91,chemicalProbes,false,false
CHEMBL5084426,2728877,CHEMBL5059584,54,DONATED_PROBES,,,10.6019/CHEMBL5058649,104146,O43683,Mitotic checkpoint serine/threonine-protein kinase BUB1,CHEMBL1772932,Homo sapiens,3.3,nM,=,8.48,CHEMBL5084426,O43683,chemicalProbes,true,false
CHEMBL710,33679,CHEMBL829929,1,LITERATURE,J Med Chem,1.5828836E7,10.1021/jm040202w,79,P18405,Steroid 5-alpha-reductase 1,CHEMBL1787,Homo sapiens,60.0,nM,=,7.22,CHEMBL710,P18405,chembl,false,true
CHEMBL1201185,675136,CHEMBL857866,1,LITERATURE,J Med Chem,1.2773038E7,10.1021/jm021093t,11265,P35346,Somatostatin receptor 5,CHEMBL1792,Homo sapiens,3.981,nM,=,8.4,CHEMBL1201185,P35346,"impc,chembl",false,true
CHEMBL525610,500007,CHEMBL4195664,1,LITERATURE,J Med Chem,2.9932656E7,10.1021/acs.jmedchem.8b00182,160,Q03431,Parathyroid hormone receptor,CHEMBL1793,Homo sapiens,0.08,nM,=,10.1,CHEMBL525610,Q03431,"impc,eva,chembl",false,true
CHEMBL4286938,2326386,CHEMBL4265323,1,LITERATURE,J Med Chem,3.0403352E7,10.1021/acs.jmedchem.8b01407,104223,Q86W56,Poly(ADP-ribose) glycohydrolase,CHEMBL1795143,Homo sapiens,37.0,nM,=,7.43,CHEMBL4286938,Q86W56,chemicalProbes,true,false
CHEMBL595,19737,CHEMBL3863230,1,LITERATURE,Bioorg Med Chem Lett,2.7687671E7,10.1016/j.bmcl.2016.09.009,104248,Q9NZ45,CDGSH iron-sulfur domain-containing protein 1,CHEMBL1795168,Homo sapiens,8650.0,nM,=,5.06,CHEMBL595,Q9NZ45,ot_genetics_portal,false,false
CHEMBL605580,603237,CHEMBL1067647,1,LITERATURE,J Med Chem,2.0085328E7,10.1021/jm9015729,104268,Q96NT5,Proton-coupled folate transporter,CHEMBL1795188,Homo sapiens,100.0,nM,=,7.0,CHEMBL605580,Q96NT5,chemicalProbes,false,false
CHEMBL296468,71663,CHEMBL1908458,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,104272,Q14004,Cyclin-dependent kinase 13,CHEMBL1795192,Homo sapiens,23.0,nM,=,7.64,CHEMBL296468,Q14004,chembl,false,true
CHEMBL3144285,1633576,CHEMBL828435,1,LITERATURE,J Med Chem,1.5828816E7,10.1021/jm040794i,117,P30874,Somatostatin receptor 2,CHEMBL1804,Homo sapiens,0.78,nM,=,9.11,CHEMBL3144285,P30874,chemicalProbes,false,false
CHEMBL3084748,1594639,CHEMBL4615173,1,LITERATURE,J Med Chem,3.2374602E7,10.1021/acs.jmedchem.9b02100,214,P08173,Muscarinic acetylcholine receptor M4,CHEMBL1821,Homo sapiens,1.445,nM,=,8.84,CHEMBL3084748,P08173,"impc,ot_genetics_portal,chembl",false,true
CHEMBL1628227,1051118,CHEMBL1909104,15,DRUGMATRIX,,,,227,P41595,Serotonin 2b (5-HT2b) receptor,CHEMBL1833,Homo sapiens,56.0,nM,=,7.25,CHEMBL1628227,P41595,chembl,false,true
CHEMBL3707392,2039363,CHEMBL4765991,1,LITERATURE,J Med Chem,2.7690427E7,10.1021/acs.jmedchem.6b00939,131,P35498,Sodium channel protein type I alpha subunit,CHEMBL1845,Homo sapiens,3400.0,nM,=,5.47,CHEMBL3707392,P35498,"impc,chembl",false,true
CHEMBL1680,511465,CHEMBL4369218,1,LITERATURE,Medchemcomm,3.0746066E7,10.1039/C8MD00388B,10183,P31391,Somatostatin receptor 4,CHEMBL1853,Homo sapiens,66.0,nM,=,7.18,CHEMBL1680,P31391,chembl,false,true
CHEMBL4458424,2365433,CHEMBL4323785,1,LITERATURE,J Med Chem,3.1670515E7,10.1021/acs.jmedchem.9b01382,95,P22888,Luteinizing hormone/Choriogonadotropin receptor,CHEMBL1854,Homo sapiens,185.0,nM,=,6.73,CHEMBL4458424,P22888,chemicalProbes,true,false
CHEMBL710,33679,CHEMBL2175567,1,LITERATURE,Eur J Med Chem,2.2776417E7,10.1016/j.ejmech.2012.06.026,120,P31213,Steroid 5-alpha-reductase 2,CHEMBL1856,Homo sapiens,30.3,nM,=,7.52,CHEMBL710,P31213,"ot_genetics_portal,chemicalProbes,chembl",false,true
CHEMBL1337,281549,CHEMBL3388490,1,LITERATURE,Bioorg Med Chem,2.5182962E7,10.1016/j.bmc.2014.08.011,123,P32754,4-hydroxyphenylpyruvate dioxygenase,CHEMBL1861,Homo sapiens,37.0,nM,=,7.43,CHEMBL1337,P32754,"uniprot_literature,impc,eva,clingen,chembl,uniprot_variants",false,true
CHEMBL461101,457398,CHEMBL997705,1,LITERATURE,Bioorg Med Chem Lett,1.8783949E7,10.1016/j.bmcl.2008.08.077,265,P40238,Thrombopoietin receptor,CHEMBL1864,Homo sapiens,38.0,nM,=,7.42,CHEMBL461101,P40238,"uniprot_literature,impc,eva,orphanet,intogen,clingen,chembl,eva_somatic,uniprot_variants,cancer_gene_census",false,true
CHEMBL2070953,1361108,CHEMBL2071936,1,LITERATURE,Bioorg Med Chem Lett,2.2910039E7,10.1016/j.bmcl.2012.07.060,12930,P51787,Voltage-gated potassium channel subunit Kv7.1,CHEMBL1866,Homo sapiens,260.0,nM,=,6.58,CHEMBL2070953,P51787,chemicalProbes,true,false
CHEMBL103667,167995,CHEMBL1908550,1,LITERATURE,Nat Biotechnol,2.2037378E7,10.1038/nbt.1990,10979,P17948,Vascular endothelial growth factor receptor 1,CHEMBL1868,Homo sapiens,410.0,nM,=,6.39,CHEMBL103667,P17948,chembl,false,true
CHEMBL38,2208,CHEMBL804830,1,LITERATURE,Bioorg Med Chem Lett,,10.1016/0960-894X(95)00455-3,277,P28702,Retinoid X receptor beta,CHEMBL1870,Homo sapiens,1400.0,nM,=,5.85,CHEMBL38,P28702,"impc,chembl",false,true
CHEMBL2152922,1423605,CHEMBL3744958,1,LITERATURE,Eur J Med Chem,2.6363507E7,10.1016/j.ejmech.2015.08.051,168,Q13639,Serotonin 4 (5-HT4) receptor,CHEMBL1875,Homo sapiens,1.3,nM,=,8.89,CHEMBL2152922,Q13639,chembl,false,true
CHEMBL548,14125,CHEMBL4326150,1,LITERATURE,J Med Chem,2.9995405E7,10.1021/acs.jmedchem.8b00808,142,P43116,Prostanoid EP2 receptor,CHEMBL1881,Homo sapiens,4.0,nM,=,8.4,CHEMBL548,P43116,chembl,false,true
CHEMBL1112,155006,CHEMBL3226683,1,LITERATURE,Medchemcomm,,10.1039/C2MD00311B,106,P28222,Serotonin 1b (5-HT1b) receptor,CHEMBL1898,Homo sapiens,1000.0,nM,=,6.0,CHEMBL1112,P28222,"impc,chembl",false,true
CHEMBL39,2214,CHEMBL1648628,1,LITERATURE,Bioorg Med Chem Lett,2.1146988E7,10.1016/j.bmcl.2010.11.080,144,P46098,Serotonin 3a (5-HT3a) receptor,CHEMBL1899,Homo sapiens,141.0,nM,=,6.85,CHEMBL39,P46098,chembl,false,true
CHEMBL269732,924,CHEMBL678156,1,LITERATURE,J Med Chem,7241506.0,10.1021/jm00137a004,80,P62942,FK506-binding protein 1A,CHEMBL1902,Homo sapiens,1000.0,nM,=,6.0,CHEMBL269732,P62942,"impc,chemicalProbes,chembl",true,true
CHEMBL1695,544765,CHEMBL2417030,1,LITERATURE,Bioorg Med Chem,2.3886812E7,10.1016/j.bmc.2013.06.063,113,P30531,GABA transporter 1,CHEMBL1903,Homo sapiens,49.0,nM,=,7.31,CHEMBL1695,P30531,"eva,chembl",false,true
CHEMBL17350,19774,CHEMBL1781194,1,LITERATURE,Bioorg Med Chem Lett,2.1524576E7,10.1016/j.bmcl.2011.03.117,222,Q13224,Glutamate [NMDA] receptor subunit epsilon 2,CHEMBL1904,Homo sapiens,74.0,nM,=,7.13,CHEMBL17350,Q13224,chembl,false,true
CHEMBL1229517,691867,CHEMBL4331499,1,LITERATURE,Eur J Med Chem,3.0529543E7,10.1016/j.ejmech.2018.11.033,10904,P04049,Serine/threonine-protein kinase RAF,CHEMBL1906,Homo sapiens,135.0,nM,=,6.87,CHEMBL1229517,P04049,"intogen,chembl,eva_somatic,cancer_gene_census",false,true
CHEMBL116438,190171,CHEMBL2415687,1,LITERATURE,Bioorg Med Chem Lett,2.3860593E7,10.1016/j.bmcl.2013.06.058,243,P15144,Aminopeptidase N,CHEMBL1907,Homo sapiens,10000.0,nM,=,5.0,CHEMBL116438,P15144,"impc,chembl",false,true
